Solanum,Accession,Longitude,Latitude
S. peruvianum,LA1517,-77.33333,-11.35
S. pimpinellifolium,LA1547,-77.93333,0.58333
S. lycopersicum,LA1480,-78.16667,-2.46667
S. lycopersicum,LA1481,-78.16667,-2.46667
S. galapagense,LA1508,-90.42306,-1.21611
S. lycopersicum,LA1509,117.9,4.26667
S. lycopersicum,LA1511,-44.23333,-19.45
S. lycopersicum,LA1512,-89.08333,13.7
S. peruvianum,LA1513,-74.36667,-15.78333
S. pimpinellifolium,LA1514,-77.11889,-11.04528
S. pimpinellifolium,LA1478,-80.08333,-5.21667
S. peruvianum,LA1516,-76.225,-13.23333
S. ochranthum,LA1477,-76.96667,1.6
S. peruvianum,LA1518,-77.325,-11.36667
S. lycopersicum,LA1519,-76.93333,-12.03333
S. pimpinellifolium,LA1520,-77.11889,-11.04528
S. pimpinellifolium,LA1521,-76.50528,-12.76472
S. pennellii,LA1522,-77.16667,-11.08333
S. pennellii,LA1523,-77.325,-11.36667
S. pennellii,LA1524,-78.53333,-8.76667
S. cheesmaniae,LA1538,-91.56667,-0.36667
S. pimpinellifolium,LA1602,-76.98333,-11.78333
S. pennellii,LA1515,-77.11889,-11.04528
S. pimpinellifolium,LA1466,-79.38333,-6.63333
S. lycopersicum,LA1453,-159.46667,21.86667
S. lycopersicum,LA1455,-99.68333,25.25
S. lycopersicum,LA1456,-96.13333,19.16667
S. lycopersicum,LA1457,-97.4,18.46667
S. lycopersicum,LA1458,-98.05,20.16667
S. lycopersicum,LA1460,-90.73333,14.55
S. lycopersicum,LA1461,121.23333,14.15
S. lycopersicum,LA1462,-89.61667,20.96667
S. lycopersicum,LA1463,-90.52972,14.5975
S. lycopersicum,LA1479,-78.16667,-2.46667
S. lycopersicum,LA1465,-84.71667,14.45
S. lycopersicum,LA1548,-74.46667,-11.16667
S. lycopersicum,LA1467,-76.51667,3.45
S. lycopersicum,LA1468,-76.51667,3.45
S. pimpinellifolium,LA1469,-79.79,-5.86
S. pimpinellifolium,LA1470,-79.73333,-6.06667
S. pimpinellifolium,LA1471,-79.75,-6.31667
S. pimpinellifolium,LA1472,-76.25,-13.31667
S. corneliomulleri,LA1473,-76.61667,-11.83333
S. peruvianum,LA1475,-77.76667,-10.75
S. habrochaites,LA1476,-75.94167,-12.58806
S. lycopersicum,LA1464,-87.81667,15.38333
S. pimpinellifolium,LA1592,-79.11667,-8.175
S. lycopersicum,LA1545,-89.46667,18.51667
S. pimpinellifolium,LA1582,-79.73333,-6.15
S. pimpinellifolium,LA1583,-79.72,-6.23
S. pimpinellifolium,LA1584,-79.79,-6.37
S. pimpinellifolium,LA1585,-79.46639,-6.69222
S. pimpinellifolium,LA1586,-78.73,-8.36
S. pimpinellifolium,LA1587,-79.51667,-7.43333
S. pimpinellifolium,LA1588,-79,-8.10833
S. pimpinellifolium,LA1589,-78.74,-8.39
S. pimpinellifolium,LA1580,-79.87,-6.59
S. pimpinellifolium,LA1591,-79.11667,-7.71667
S. pimpinellifolium,LA1579,-79.87,-6.59
S. pimpinellifolium,LA1593,-78.67,-8.54
S. pimpinellifolium,LA1594,-78.26,-9.49
S. pimpinellifolium,LA1595,-78.47,-9.27
S. pimpinellifolium,LA1596,-78.56667,-8.925
S. pimpinellifolium,LA1597,-78.34,-9.47
S. pimpinellifolium,LA1598,-78.19,-9.93
S. pimpinellifolium,LA1599,-78.18333,-10.05833
S. pimpinellifolium,LA1600,-78.04,-10.28
S. chmielewskii,LA1327,-72.93333,-13.73333
S. pimpinellifolium,LA1590,-78.73,-8.37
S. pimpinellifolium,LA1561,-77.41667,-11.1
S. lycopersicum,LA1549,-75.48333,-10.58333
S. peruvianum,LA1550,-76.35,-11.8
S. corneliomulleri,LA1551,-76.38333,-11.86667
S. corneliomulleri,LA1552,-76.3,-11.75
S. corneliomulleri,LA1554,-76.62,-11.22
S. peruvianum,LA1555,-76.91667,-11.98333
S. peruvianum,LA1556,-77.03333,-12.13333
S. habrochaites,LA1557,-76.63,-11.22
S. habrochaites,LA1558,-76.48333,-11.44167
S. pimpinellifolium,LA1581,-79.89,-6.6
S. habrochaites,LA1560,-76.38333,-11.85
S. cheesmaniae,LA1450,-91.44,-0.97444
S. pimpinellifolium,LA1562,-76.81667,-12.13333
S. pimpinellifolium,LA1571,-76.71,-11.95
S. pimpinellifolium,LA1572,-76.78333,-11.96667
S. pimpinellifolium,LA1573,-76.83333,-11.98333
S. lycopersicum,LA1574,-76.83333,-11.98333
S. pimpinellifolium,LA1575,-76.76667,-12.08333
S. pimpinellifolium,LA1576,-76.86667,-12.16667
S. pimpinellifolium,LA1577,-79.18,-7.81
S. pimpinellifolium,LA1578,-79.58333,-7.33333
S. habrochaites,LA1559,-76.66667,-11.5
S. habrochaites,LA1363,-77.35,-10.15833
S. galapagense,LA1452,-91.05972,-0.37778
S. habrochaites,LA1353,-78.8,-7.36667
S. habrochaites,LA1354,-78.78333,-7.41667
S. pimpinellifolium,LA1355,-78.35,-9.18333
S. pennellii,LA1356,-78.16722,-9.07667
S. pimpinellifolium,LA1357,-78.15,-9.04167
S. huaylasense,LA1358,-77.96667,-9.53333
S. pimpinellifolium,LA1359,-77.9,-9.55833
S. huaylasense,LA1360,-77.93028,-9.54694
S. arcanum,LA1351,-78.81667,-7.28333
