Month,latitude,longitude,Race
March,32.541,-6.939,Les Challenges de la Marche Verte - GP Sakia El Hamra
April,45.894,14.628,GP Adria Mobil
April,47.977,2.223,La Roue Tourangelle R_gion Centre Val de Loire - Troph_e Harmonie Mutuelle
April,50.747,4.541,Ronde van Vlaanderen - Tour des Flandres
April,14.866,100.662,"The Princess Maha Chackri Sirindhorn's  Cup ""Tour of Thailand"""
April,40.078,-3.211,Vuelta Ciclista a La Rioja
May,52.664,18.518,30 Memoria_ Andrzeja Trochanowskiego
May,50.576,10.583,Eschborn-Frankfurt
June,52.244,4.817,Hammer Sportzone Limburg
June,49.621,30.825,Horizon Park Race for Peace
August,52.244,4.817,Acht van Chaam
August,55.612,9.498,PostNord Danmark Rundt - Tour of Denmark
August,47.977,2.223,Ronde des Korrigans
August,47.977,2.223,Tour Alsace
August,38.481,-8.219,Volta a Portugal em Bicicleta Santander Totta
September,50.747,4.541,Brussels Cycling Classic
September,42.142,25.801,International Cycling Tour of Bulgaria
March,37.917,33.808,Tour of Mediterrennean
April,40.078,-3.211,Vuelta Ciclista al Pais Vasco
May,52.664,18.518,19 Memoria_ Romana Siemi_skiego
May,54.899,38.335,Five Rings of Moscow
June,42.642,12.881,63 Trofeo Alcide Degasperi
June ,49.621,30.825,Horizon Park Race Maidan
June,50.747,4.541,Market Heistse Pijl
July,28.671,2.667,Tour International de Constantine 2018
August,52.244,4.817,46e Profronde Westland
August,47.977,2.223,Criterium d'aprs Tour de France de Dijon
September,47.977,2.223,GP de Fourmies / La Voix du Nord
September,52.244,4.817,Kernen Omloop Echt-Susteren
September,53.154,-1.582,Ovo Energy Tour of Britain
September,50.747,4.541,Schaal Sels
October,50.747,4.541,Binche -  Chimay - Binche / M_morial Frank Vandenbroucke
October,3.316,101.981,Jelajah Malaysia
February,25.941,50.559,Desert Pearl
March,3.316,101.981,Le Tour de Langkawi
March,32.541,-6.939,Les Challenges de la Marche Verte - GP Oued Eddahab
March,42.642,12.881,Strade Bianche
March,44.683,15.273,Trofej Porec - Porec Trophy
April,47.977,2.223,Circuit Cycliste Sarthe - Pays de la Loire
May,47.977,2.223,Rhéne-Alpes Isre Tour
May,53.154,-1.582,Tour de Yorkshire
June,42.642,12.881,47^ Coppa della Pace - 44 Trofeo F.lli Anelli
June,47.977,2.223,Crit_rium du Dauphin_
June,46.644,7.893,Gran Premio Citt_ di Lugano
June,49.621,30.825,Horizon Park Race Classic
June,38.175,-101.035,Independence Cycling Classic
June ,50.747,4.541,Memorial Philippe Van Coningsloo
July,42.642,12.881,Trofeo Citt_ di Brescia
August,52.244,4.817,RaboRonde Heerlen
August,47.977,2.223,Tour Cycliste International de la Guadeloupe
September,31.769,103.921,Tour of Xingtai
October,50.576,10.583,Sparkassen Mªnsterland Giro
February,42.642,12.881,G.P. G.S. Emilia
March,50.747,4.541,Dwars door West-Vlaanderen / Johan Museeuw Classics
March,42.642,12.881,GP Industria & Artigianato
March,47.977,2.223,Grand Prix de la Ville de Lillers Souvenir Bruno Comini
March,39.291,22.414,International Rhodes Grand Prix
